id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
582;Lenovo V30a-24IIL Raven Black;10892;9002;;;Slightly used;23.8;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 1005G1 Ice Lake;2.0;;3.4;15.0;8.0;DDR4;Intel;UHD Graphics;['Windows 10 Pro'];['HDD'];1000.0;;['M.2 (NVMe)'];;;;;0.0;0.0;HDMI;541.0;;214.0;450.0;['Mouse', 'Keyboard', 'Power cable'];['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi', 'Speakers'];65.0;;1.2;4.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Integrated CPU;;;;;;;;All In One;;;;3200.0;16.0;2.0;1.0;4.0;2.0;['Combo Audio Jack', 'Kensington lock', 'WAN/LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];0.0;;['Mouse', 'Keyboard'];;['WiFi 802.11 a/b/g/n/ac'];;;;;;;
583;Lenovo Legion T530-28ICB;19493;16110;5.0;1.0;Slightly used;;;;Intel Core i5;Intel Core i5 9400 Coffee Lake;6.0;;4.1;65.0;16.0;DDR4;NVIDIA GeForce;RTX 2060;['Windows 10 Home'];['SSD', 'HDD'];2512.0;512.0;['SATA III', 'PCIe'];;;;;2.0;;DVI-D, HDMI, DisplayPort;184.5;;469.0;440.0;;['Gaming'];['Opticl drive'];500.0;Lenovo Legion;2.9;9.0;['Automatic Overclocking', 'Virtualization Support'];6.0;1920.0;;;;;;;;;;Midi Tower;;;;2666.0;32.0;2.0;2.0;2.0;4.0;['Combo Audio Jack', 'LAN'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;7200.0;2048.0;
584;Lenovo Legion T7 34IRZ8;112690;93132;1.0;1.0;Unsealed;;;;Intel Core i9;Intel Core i9 13900KF Raptor Lake;24.0;;5.8;2553.0;64.0;DDR5;NVIDIA GeForce;RTX 4090;['Windows 11 Home'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;1.0;;211.0;;464.0;492.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];;Lenovo Legion;3.0;36.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];24.0;;;;;0.0;0.0;0.0;1.0;1.0;1.0;Big Tower;Top;Transparent;;5600.0;64.0;4.0;4.0;2.0;4.0;['Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;
585;Lenovo Legion T7 34IMZ5;54593;45118;;;As good as new;;;;Intel Core i9;Intel Core i9 10900KF Comet Lake;10.0;;5.3;95.0;64.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Pro'];['SSD', 'HDD'];3000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;211.0;;450.0;472.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Lenovo Legion;3.7;20.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];10.0;8704.0;GeForce VR-Ready;LGA1200;['PCI Express x1', 'PCI Express x16', 'M.2', 'SATA III'];;;;;;;Big Tower;;;;3200.0;128.0;4.0;2.0;4.0;2.0;['7.1 Channel Audio(3 ports)', 'Microphone input', 'WAN/LAN', 'Audio input (Line in)', 'Audio output (Line out)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;['WiFi 802.11a/b/g/n/ac/ax'];;;;;7200.0;2048.0;
586;Lenovo IdeaCentre 3 27ITL6 Black;15919;13156;;;Slightly used;27.0;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1135G7 Tiger Lake;4.0;;4.2;28.0;16.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;2.0;;HDMI;613.1;;200.0;472.91;['Mouse', 'Keyboard'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];90.0;Lenovo IdeaCentre;2.4;8.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];;;;;;;All In One;Side;;;3200.0;16.0;2.0;2.0;2.0;;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;10026.0;;;;;
587;Lenovo IdeaCentre 5 24ALC6 Graphite Grey;17422;14398;4.0;2.0;As good as new;23.8;1920 x 1080 px;IPS;AMD Ryzen 5;AMD Ryzen 5 5500U;6.0;;4.0;15.0;12.0;DDR4;AMD Radeon;Graphics;['Windows 10 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;3.0;;HDMI;450.9;;435.19;24.92;;['All-in-one PC'];['Bluetooth', 'Webcam'];135.0;Lenovo IdeaCentre;2.1;8.0;['Automatic Overclocking', 'Virtualization Support'];;;;;;;;;;;;All In One;;;;3200.0;16.0;2.0;2.0;2.0;;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
588;Lenovo IdeaCentre 5 24ALC6 Graphite Grey;20327;16799;;;As good as new;23.8;1920 x 1080 px;IPS;AMD Ryzen 5;AMD Ryzen 5 5500U;6.0;;4.0;15.0;16.0;DDR4;AMD Radeon;Graphics;['Windows 10 Pro'];['SSD', 'HDD'];1512.0;512.0;;;;;;3.0;;HDMI;450.9;;435.19;24.92;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi'];135.0;Lenovo IdeaCentre;2.1;8.0;['Automatic Overclocking', 'Virtualization Support'];;;;;;;;;;;;All In One;;;;3200.0;16.0;2.0;2.0;2.0;;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;5400.0;1024.0;
589;Mac mini 2020;57584;47590;4.8;14.0;Slightly used;;;;Intel Core i7;Intel Core i7 8700B Coffee Lake;6.0;;4.6;65.0;64.0;DDR4;Intel;UHD Graphics 630;['macOS'];['SSD'];2000.0;2000.0;;;;;;;4.0;HDMI 2.0a;197.0;;197.0;36.0;['Power cable'];['Mini PC', 'Configurable (Barebone)'];['Bluetooth', 'Wi-Fi'];150.0;Apple Mac Mini;3.2;12.0;['Automatic Overclocking', 'HyperThreading'];;;;Intel FCBGA1528;;;;;;;;Micro Tower;;;;2666.0;8.0;;1.0;;2.0;['LAN', 'Headphone/Speaker output', 'ThunderBolt'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['WiFi 802.11ac'];;;;;;;
590;Mac mini 2020;25290;20901;4.8;14.0;Unsealed;;;;Intel Core i5;Intel Core i5 8500B Coffee Lake;6.0;;4.1;;8.0;DDR4;Intel;UHD Graphics 630;['macOS'];['SSD'];512.0;512.0;;;;;;;;HDMI;197.0;;197.0;36.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;3.0;9.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;;;;;;;Micro Tower;;;;2666.0;;;;;2.0;;Without Optical Drive;;;;;;;['WiFi 802.11ac'];;;;;;;
591;Mac mini 2020;42390;35033;4.8;14.0;As good as new;;;;Intel Core i5;Intel Core i5 8500B Coffee Lake;6.0;;4.1;;8.0;DDR4;Intel;UHD Graphics 630;['macOS'];['SSD'];512.0;512.0;;;;;;;;HDMI;197.0;;197.0;36.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;3.0;9.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;;;;;;;Micro Tower;;;;2666.0;;;;;2.0;;Without Optical Drive;;;;;;;['WiFi 802.11ac'];;;;;;;
592;Mac mini M1 2020;21000;17355;5.0;17.0;As good as new;;;;Apple Silicon;Apple M1;8.0;;;;16.0;;Apple;M1 8-core GPU;['macOS'];['SSD'];256.0;256.0;;;;;;;;HDMI;197.0;;197.0;36.0;;['Mini PC'];;;Apple Mac Mini;;;['HyperThreading', 'Virtualization Support'];;;;;;;;;;;;Micro Tower;;;;;;;;;2.0;;Without Optical Drive;;;;;;;['WiFi 802.11ax'];;;;;;;
593;Mac Pro 2019;97533;80606;;;As good as new;;;;Intel Xeon;;8.0;;4.5;;32.0;;AMD Radeon Pro;580X;['macOS'];['SSD'];1000.0;1000.0;;;;;;;;;;;;;;['Performance'];;;Apple Mac Pro;3.5;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;iMac 24 “M1 CZ Purple;48353;39961;2.0;1.0;As good as new;23.5;4480 × 2520 px;IPS;Apple Silicon;Apple M1;8.0;;;;16.0;;Apple;M1 8-core GPU;['macOS'];['SSD'];1000.0;1000.0;;;;;;;2.0;Thunderbolt 3;547.0;;147.0;461.0;['Power adapter', 'Power cable', 'USB-C cable'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi'];143.0;Apple iMac;;;;;;;;;;;;;;;All In One;;;;;;;;;2.0;['Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Magic Mouse 2', 'Magic Keyboard with Touch ID'];;['WiFi 802.11a/b/g/n/ac/ax'];;;;;;;
595;"iMac 27"" CZ Retina 5K 2020";43872;36258;5.0;3.0;Slightly used;27.0;5120 × 2880 px;IPS;Intel Core i5;Intel Core i5 10500 Comet Lake;6.0;;4.5;;8.0;DDR4;AMD Radeon Pro;5300;['macOS'];['SSD'];256.0;256.0;;;;;;4.0;2.0;Thunderbolt 3;650.0;;203.0;516.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];;Apple iMac;3.1;;['Automatic Overclocking', 'Virtualization Support'];4.0;;;;;;;;;;;All In One;;;;2666.0;128.0;;;;;['LAN'];Without Optical Drive;;;;;['Mouse', 'Keyboard'];;['WiFi 802.11ac'];;;;;;;
596;"iMac 27"" CZ Retina 5K 2020";72594;59995;;;As good as new;27.0;5120 × 2880 px;IPS;Intel Core i9;Intel Core i9 10910 Comet Lake;10.0;;5.0;125.0;32.0;DDR4;AMD Radeon Pro;5500 XT;['macOS'];['SSD'];2000.0;2000.0;;;;;;;2.0;;650.0;;203.0;516.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];;Apple iMac;3.6;20.0;['Automatic Overclocking', 'HyperThreading', 'Low energy consumption', 'Virtualization Support'];8.0;1408.0;;;;;;;;;;All In One;;;;2666.0;;;;;4.0;['Kensington lock', 'LAN', 'Headphone/Speaker output', 'ThunderBolt'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Keyboard', 'Magic Mouse 2', 'Magic Trackpad 2'];;['WiFi 802.11ac'];;;;;;;
597;"iMac 27"" CZ Retina 5K 2020";46181;38166;5.0;3.0;As good as new;27.0;5120 × 2880 px;IPS;Intel Core i5;Intel Core i5 10500 Comet Lake;6.0;;4.5;;8.0;DDR4;AMD Radeon Pro;5300;['macOS'];['SSD'];256.0;256.0;;;;;;4.0;2.0;Thunderbolt 3;650.0;;203.0;516.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];;Apple iMac;3.1;;['Automatic Overclocking', 'Virtualization Support'];4.0;;;;;;;;;;;All In One;;;;2666.0;128.0;;;;;['LAN'];Without Optical Drive;;;;;['Mouse', 'Keyboard'];;['WiFi 802.11ac'];;;;;;;
598;Alza GameBox Core RTX3060+;32290;26686;4.8;5.0;Unsealed;;;;Intel Core i5;Intel Core i5 10400F Comet Lake;6.0;;4.3;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD', 'HDD'];5000.0;1000.0;;;;;;2.0;1.0;HDMI, DisplayPort;230.0;;453.0;466.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];600.0;Alza GameBox;2.9;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];12.0;3584.0;;Intel LGA1200;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3200.0;;4.0;2.0;4.0;3.0;;Without Optical Drive;;;;;;;;;;;;5400.0;4096.0;
599;Alza GameBox Core RTX3060;29041;24001;5.0;4.0;Unsealed;;;;Intel Core i7;Intel Core i7 9700F Coffee Lake;8.0;;4.7;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060;['Windows 10 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;1.0;HDMI, DisplayPort;208.0;;400.0;458.0;['Power cable'];['Gaming'];['Wi-Fi'];600.0;Alza GameBox;3.0;12.0;['Automatic Overclocking', 'Virtualization Support', 'No graphics chip'];12.0;3584.0;;Intel 1151 Coffee Lake;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3200.0;;4.0;2.0;2.0;;;Without Optical Drive;;;;;;;;;;;;;;
600;Alza GameBox Core RTX 3070;39701;32811;3.9;17.0;Unsealed;;;;Intel Core i7;Intel Core i7 10700F Comet Lake;8.0;;4.8;65.0;32.0;DDR4;NVIDIA GeForce;RTX 3070;['Windows 10 Home'];['SSD', 'HDD'];3000.0;1000.0;['SATA III', 'M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;HDMI, DisplayPort;210.0;;428.0;460.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;2.9;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];8.0;5888.0;;Intel 1200;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;2933.0;128.0;4.0;4.0;2.0;4.0;;Without Optical Drive;;;;;;;;;;;;7200.0;2048.0;
601;Alza GameBox Ryzen RTX2060;25722;21258;4.9;13.0;Unsealed;;;;AMD Ryzen 5;AMD RYZEN 5 3600;6.0;;4.2;65.0;16.0;DDR4;NVIDIA GeForce;RTX 2060;['Windows 10 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;DVI, HDMI, DisplayPort;208.0;;400.0;458.0;['Power cable'];['Gaming'];['Wi-Fi'];550.0;Alza GameBox;3.6;32.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];6.0;1920.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3200.0;64.0;4.0;2.0;2.0;5.0;;Without Optical Drive;;['Extended Warranty'];;;;;['WiFi ASUS PCE-N15'];;17773.0;;;;;
602;Alza BattleBox Alder Core RTX3080 Ti TUF;61590;50901;1.0;1.0;Unsealed;;;;Intel Core i7;Intel Core i7 12700KF Alder Lake;12.0;;5.0;125.0;32.0;DDR4;NVIDIA GeForce;RTX 3080 Ti;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;HDMI, DisplayPort;251.0;;545.0;552.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.6;25.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];12.0;10240.0;;Intel LGA1700;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;;4.0;2.0;;5.0;;Without Optical Drive;;;1.0;;;;;;;;;;;
603;Alza BattleBox Core RTX3080 Define;52791;43629;3.5;6.0;Unsealed;;;;Intel Core i7;Intel Core i7 11700KF Rocket Lake;8.0;;5.0;125.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;233.0;;538.0;465.0;;['Gaming'];;850.0;Alza Battlebox;3.6;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];10.0;8704.0;;Intel LGA1200;;;;;;;;Big Tower;;;;3200.0;;4.0;2.0;2.0;4.0;;Without Optical Drive;;;1.0;;;;;;;;Yes;;;
604;Alza BattleBox Alder Core RTX3090 Quiet;96792;79993;5.0;3.0;Unsealed;;;;Intel Core i9;Intel Core i9 12900KF Alder Lake;16.0;;5.2;241.0;64.0;DDR4;NVIDIA GeForce;RTX 3090;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;HDMI, DisplayPort;233.0;;450.0;463.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.2;30.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];24.0;10496.0;;Intel LGA1700;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;;4.0;4.0;;5.0;;Without Optical Drive;;;1.0;;;;;;;;No;;;
605;Alza BattleBox Ryzen RX 6900 XT Meshify;87991;72720;;;Unsealed;;;;AMD Ryzen 9;AMD Ryzen 9 5900X;12.0;;4.8;105.0;64.0;DDR4;AMD Radeon RX;6900 XT;['Windows 10 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;4.0;1.0;HDMI, DisplayPort;240.0;;542.0;474.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.7;64.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];16.0;5120.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;128.0;4.0;4.0;4.0;2.0;;Without Optical Drive;;;;;;;;;;;;;;
606;Alza BattleBox Core RTX3080 CEE;53856;44509;3.0;6.0;Unsealed;;;;Intel Core i9;Intel Core i9 11900F Rocket Lake;8.0;;5.2;65.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Pro'];['SSD'];2000.0;2000.0;;;;;;2.0;1.0;HDMI, DisplayPort;230.0;;453.0;466.0;;['Gaming'];['Wi-Fi'];760.0;Alza Battlebox;2.5;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];10.0;8704.0;;Intel 1200;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3200.0;;4.0;2.0;3.0;3.0;;Without Optical Drive;;;;;;;;;;;Yes;;;
607;Alza BattleBox Ryzen RTX3090 Quiet;43991;36356;3.0;2.0;Unsealed;;;;AMD Ryzen 7;AMD Ryzen 7 5800X;8.0;;4.7;105.0;32.0;DDR4;NVIDIA GeForce;RTX 3090;['Windows 10 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;4.0;1.0;HDMI, DisplayPort;232.0;;450.0;463.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Alza Battlebox;3.8;32.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];24.0;10496.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;;4.0;4.0;2.0;2.0;;Without Optical Drive;;['3-year warranty even for businesses'];;;;;;;;;No;;;
608;Alza BattleBox Ryzen RTX3070 Aorus;37829;31264;3.9;7.0;Unsealed;;;;AMD Ryzen 7;AMD Ryzen 7 5800X;8.0;;4.7;105.0;32.0;DDR4;NVIDIA GeForce;RTX 3070;['Windows 10 Pro'];['SSD', 'HDD'];3000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)', 'M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;;HDMI, DisplayPort;309.0;;541.0;542.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];750.0;Alza Battlebox;3.8;32.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];8.0;5888.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3733.0;;4.0;4.0;4.0;4.0;;Without Optical Drive;;;;;;;['WiFi GIGABYTE WBAX200'];;;;;;2048.0;
609;Alza BattleBox Ryzen RTX3080 Corsair;34065;28153;5.0;1.0;Unsealed;;;;AMD Ryzen 9;AMD Ryzen 9 5900X;12.0;;4.8;105.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Pro'];['SSD'];3000.0;3000.0;['M.2 (PCIe 3.0 4x NVMe)', 'M.2 (PCIe 4.0 4x NVMe)'];;;;;4.0;1.0;HDMI, DisplayPort;230.0;;453.0;466.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Alza Battlebox;3.7;64.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];10.0;8704.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;;4.0;2.0;2.0;2.0;;Without Optical Drive;;;;;;;;;;;;;;
610;Alza BattleBox Ryzen RTX3090 Helios;117031;96720;5.0;1.0;Unsealed;;;;AMD Ryzen 9;AMD Ryzen 9 5950X;16.0;;4.9;105.0;64.0;DDR4;NVIDIA GeForce;RTX 3090;['Windows 10 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;8.0;1.0;HDMI, DisplayPort;250.0;;591.0;565.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.4;64.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading', 'No graphics chip'];24.0;10496.0;;AMD AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;3600.0;128.0;4.0;4.0;;;;Without Optical Drive;;;;;;;;;;;;;;
611;HAL3000 MEGA Gamer Pro 4060;22990;19000;5.0;1.0;In stock 1 pcs;;;;Intel Core i5;Intel Core i5 11400F Rocket Lake;6.0;;4.4;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;HDMI, DisplayPort;216.0;;413.0;447.0;['Power adapter'];['Gaming'];['RGB backlight'];550.0;MEGA Gamer;2.6;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;3584.0;GeForce VR-Ready;Intel LGA1200;['PCI Express x4'];0.0;4.0;0.0;2.0;1.0;1.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;64.0;2.0;2.0;4.0;4.0;['7.1 Channel Audio(3 ports)', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;170.0;;['Windows 11 compatible'];;;;;;;;
612;Acer Aspire TC-1760;15490;12802;5.0;2.0;In stock 1 pcs;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;65.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];512.0;512.0;;;;;;;1.0;HDMI;163.0;;350.0;340.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];300.0;Acer Aspire;2.5;18.0;['Automatic Overclocking'];;;;;;;;;;;;Mini Tower;;;;2133.0;;2.0;1.0;4.0;2.0;['RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone/Speaker output'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;['WiFi 802.11 a/b/g/n/ac'];;;;;;;
613;Mac Studio M2 MAX;59990;49579;5.0;2.0;In stock 1 pcs;;;;Apple Silicon;Apple M2 MAX (12-core);12.0;;;;32.0;;Apple;M2 MAX 30-core GPU;['macOS'];['SSD'];512.0;;;;;;;;4.0;HDMI, USB-C, Thunderbolt;197.0;;197.0;95.0;;['Performance'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi', 'Speakers'];;Apple Mac Studio;;;;;;;;;;;;;;;;;;;;;;;;2.0;;Without Optical Drive;;;;;;;;;;;;;;
614;MSI MPG Infinite X2 13FNUG-030EU;84990;70240;5.0;1.0;In stock 1 pcs;;;;Intel Core i7;Intel Core i7 13700KF Raptor Lake;16.0;;5.4;125.0;32.0;DDR5;NVIDIA GeForce;RTX 4080;['Windows 11 Home'];['SSD'];2048.0;2048.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;2.0;HDMI, DisplayPort;215.0;;429.6;489.6;;['Gaming'];['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];1000.0;MSI Infinite;3.4;30.0;['Automatic Overclocking', 'HyperThreading', 'No graphics chip'];16.0;;GeForce VR-Ready;Intel LGA1700;;;;;;;;Midi Tower;Top;Transparent;Tempered glass;4800.0;128.0;4.0;2.0;4.0;4.0;['7.1 Channel Audio(3 ports)', 'PS2', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];0.0;;;;;;;;;;;
